Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Calvin Verdonk,2026-02-19,Lille,FK Crvena zvezda,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-02-22,Angers,Lille,6.6,84,9202.0,19.0,109.55,0,0,0.0,0.1,53,63,1,0,2,0,4,79,0,2.06
Calvin Verdonk,2026-02-26,FK Crvena zvezda,Lille,6.8,15,1646.0,3.0,109.73,0,0,0.0,0.0,5,9,0,0,0,0,2,11,0,1.82
Calvin Verdonk,2026-03-01,Lille,Nantes,7.1,90,10058.0,20.0,111.76,0,0,0.0,0.03,73,90,0,0,2,0,8,121,0,1.99
Calvin Verdonk,2026-03-08,Lille,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-03-12,Lille,Aston Villa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-03-15,Stade Rennais,Lille,6.6,84,9046.0,19.0,107.69,0,0,0.0,0.0,22,29,0,0,2,0,3,45,0,2.1
Calvin Verdonk,2026-03-19,Aston Villa,Lille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-03-22,Olympique de Marseille,Lille,6.2,78,8434.0,19.0,108.13,0,0,0.0,0.02,34,42,0,0,3,0,0,58,0,2.25
Calvin Verdonk,2026-04-04,Lille,RC Lens,,1,105.0,0.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-04-12,Toulouse,Lille,6.7,14,1529.0,4.0,109.21,0,0,0.0,0.0,9,11,0,0,1,0,0,14,0,2.62
Calvin Verdonk,2026-04-18,Lille,Nice,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Calvin Verdonk,2026-04-26,Paris FC,Lille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
