Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Igor Silva,2025-12-14,RC Strasbourg,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Igor Silva,2025-12-20,AS Gosier,Lorient,8.3,90,9912.0,19.0,110.13,0,1,0.0,0.0,88,93,3,0,1,0,3,101,0,1.92
Igor Silva,2026-01-04,Lorient,Metz,7.2,90,9840.0,19.0,109.33,0,0,0.0,0.06,44,57,1,0,1,0,8,69,0,1.93
Igor Silva,2026-01-10,Hauts Lyonnais,Lorient,7.7,90,9856.0,20.0,109.51,0,1,0.0,0.0,49,56,2,0,2,0,9,70,0,2.03
Igor Silva,2026-01-16,AS Monaco,Lorient,6.8,89,9534.0,19.0,107.12,0,0,0.0,0.22,20,21,0,0,1,0,1,42,0,1.99
Igor Silva,2026-01-24,Stade Rennais,Lorient,6.7,74,7925.0,16.0,107.09,0,0,0.08,0.0,15,22,0,0,1,0,1,34,0,2.02
Igor Silva,2026-01-31,Lorient,Nantes,7.0,90,9807.0,17.0,108.97,0,0,0.0,0.03,51,53,0,0,0,0,4,73,0,1.73
Igor Silva,2026-02-07,Stade Brestois,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Igor Silva,2026-02-15,Lorient,Angers,8.1,90,9903.0,17.0,110.03,0,0,0.0,0.02,60,68,0,0,0,0,7,87,0,1.72
Igor Silva,2026-02-22,Nice,Lorient,5.9,90,9677.0,19.0,107.52,0,0,0.19,0.03,33,40,1,0,1,0,0,54,0,1.96
Igor Silva,2026-03-01,Lorient,Auxerre,6.5,90,9765.0,17.0,108.5,0,0,0.0,0.0,43,48,0,0,0,0,2,69,0,1.74
Igor Silva,2026-04-05,Lorient,Paris FC,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Igor Silva,2026-04-12,Olympique Lyonnais,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Igor Silva,2026-04-18,Lorient,Olympique de Marseille,6.7,8,848.0,2.0,106.0,0,0,0.03,0.0,1,1,0,0,0,0,0,2,0,2.36
Igor Silva,2026-04-26,Lorient,RC Strasbourg,6.3,5,563.0,1.0,112.6,0,0,0.0,0.06,3,5,0,0,0,0,0,9,0,1.78
