Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Francis Coquelin,2025-08-30,Nantes,Auxerre,6.9,72,,,0.0,0,0,0.01,0.0,22,24,0,0,2,0,3,38
Francis Coquelin,2025-09-20,Nantes,Stade Rennais,6.5,11,,,0.0,0,0,0.02,0.0,4,4,0,0,0,0,1,5
Francis Coquelin,2025-12-12,Angers,Nantes,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Francis Coquelin,2025-12-21,US Concarneau,Nantes,6.7,9,,,0.0,0,0,0.0,0.0,9,11,0,0,0,0,1,12
Francis Coquelin,2026-01-04,Olympique de Marseille,Nantes,6.9,58,,,0.0,0,0,0.0,0.03,24,26,0,0,0,0,3,31
Francis Coquelin,2026-01-18,Nantes,Paris FC,6.1,65,,,0.0,0,0,0.0,0.01,30,33,0,0,0,0,1,43
Francis Coquelin,2026-01-31,Lorient,Nantes,6.6,12,,,0.0,0,0,0.0,0.0,4,4,0,0,1,0,0,8
Francis Coquelin,2026-02-07,Nantes,Olympique Lyonnais,6.7,19,,,0.0,0,0,0.04,0.01,18,19,0,0,0,0,0,22
Francis Coquelin,2026-02-13,AS Monaco,Nantes,6.6,66,,,0.0,0,0,0.0,0.06,21,27,0,0,1,0,2,38
Francis Coquelin,2026-02-22,Nantes,Le Havre,6.5,9,,,0.0,0,0,0.0,0.0,1,1,1,0,0,0,0,3
Francis Coquelin,2026-03-01,Lille,Nantes,6.7,28,,,0.0,0,0,0.0,0.03,4,5,1,0,0,0,1,13
Francis Coquelin,2026-03-07,Nantes,Angers,7.1,25,,,0.0,0,0,0.0,0.0,15,17,0,0,0,0,1,21
Francis Coquelin,2026-04-05,Metz,Nantes,6.7,84,,,0.0,0,0,0.03,0.0,23,27,0,0,0,0,7,38
Francis Coquelin,2026-04-11,Auxerre,Nantes,6.8,73,,,0.0,0,0,0.0,0.01,32,34,0,0,0,0,3,46
Francis Coquelin,2026-04-19,Nantes,Stade Brestois,6.6,45,,,0.0,0,0,0.01,0.0,18,21,1,0,1,0,1,27
