Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Noah Nartey,2026-02-15,Olympique Lyonnais,Nice,7.8,90,,,0.0,1,0,0.42,0.05,36,38,1,0,1,0,1,53
Noah Nartey,2026-02-22,RC Strasbourg,Olympique Lyonnais,6.1,62,,,0.0,0,0,0.0,0.05,24,25,1,0,0,0,3,34
Noah Nartey,2026-03-01,Olympique de Marseille,Olympique Lyonnais,6.3,90,,,0.0,0,0,0.0,0.03,28,35,0,0,0,0,5,56
Noah Nartey,2026-03-05,Olympique Lyonnais,RC Lens,6.7,87,,,0.0,0,0,0.0,0.0,34,37,2,0,0,0,7,48
Noah Nartey,2026-03-08,Olympique Lyonnais,Paris FC,6.7,25,,,0.0,0,0,0.0,0.0,12,15,0,0,0,0,4,17
Noah Nartey,2026-03-12,Celta Vigo,Olympique Lyonnais,6.0,85,,,0.0,0,0,0.11,0.1,44,47,4,0,0,0,5,59
Noah Nartey,2026-03-15,Le Havre,Olympique Lyonnais,6.5,18,,,0.0,0,0,0.0,0.02,5,7,0,0,0,0,1,9
Noah Nartey,2026-03-19,Olympique Lyonnais,Celta Vigo,6.5,67,,,0.0,0,0,0.01,0.01,16,16,0,0,0,0,2,28
Noah Nartey,2026-03-22,Olympique Lyonnais,AS Monaco,6.2,22,,,0.0,0,0,0.1,0.01,11,13,1,0,0,0,1,18
Noah Nartey,2026-03-26,Denmark,North Macedonia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Noah Nartey,2026-03-31,Czechia,Denmark,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Noah Nartey,2026-04-05,Angers,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Noah Nartey,2026-04-12,Olympique Lyonnais,Lorient,6.8,45,,,0.0,0,0,0.0,0.02,22,25,0,0,0,0,4,37
Noah Nartey,2026-04-19,Paris Saint-Germain,Olympique Lyonnais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Noah Nartey,2026-04-25,Olympique Lyonnais,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
