Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Amadou Haidara,2025-12-29,Comoros,Mali,6.3,18,1957.0,3.0,108.72,0,0,0.0,0.0,12,12,0,0,0,0,1,13,0,1.53
Amadou Haidara,2026-01-09,Mali,Senegal,6.1,55,5897.0,11.0,107.22,0,0,0.0,0.0,13,17,0,0,0,0,2,23,0,1.87
Amadou Haidara,2026-01-30,RC Lens,Le Havre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Amadou Haidara,2026-02-04,Troyes,RC Lens,6.9,45,4910.0,10.0,109.11,0,0,0.0,0.0,27,32,0,0,1,0,2,38,0,2.04
Amadou Haidara,2026-02-07,RC Lens,Stade Rennais,6.6,12,1285.0,2.0,107.08,0,0,0.0,0.0,4,5,0,0,0,0,0,6,0,1.56
Amadou Haidara,2026-02-14,Paris FC,RC Lens,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Amadou Haidara,2026-02-21,RC Lens,AS Monaco,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Amadou Haidara,2026-02-27,RC Strasbourg,RC Lens,6.6,17,1819.0,3.0,107.0,0,0,0.03,0.0,3,4,0,0,0,0,0,8,0,1.65
Amadou Haidara,2026-03-05,Olympique Lyonnais,RC Lens,6.7,12,1356.0,2.0,113.0,0,0,0.0,0.0,10,12,0,0,0,0,2,17,0,1.47
Amadou Haidara,2026-03-08,RC Lens,Metz,8.0,45,4889.0,9.0,108.64,1,0,0.11,0.05,32,34,0,0,0,0,1,36,0,1.84
Amadou Haidara,2026-03-14,Lorient,RC Lens,6.9,22,2436.0,7.0,110.73,0,0,0.0,0.04,26,27,0,0,2,0,0,30,0,2.87
Amadou Haidara,2026-04-04,Lille,RC Lens,6.4,35,3759.0,7.0,107.4,0,0,0.0,0.01,13,14,0,0,0,0,2,14,0,1.86
Amadou Haidara,2026-04-17,RC Lens,Toulouse,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Amadou Haidara,2026-04-21,RC Lens,Toulouse,6.7,11,1184.0,2.0,107.64,0,0,0.0,0.0,5,6,0,0,0,0,0,7,0,1.69
Amadou Haidara,2026-04-24,Stade Brestois,RC Lens,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
