Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Hamidou Makalou,2025-12-19,Avranches,Stade Brestois,6.9,63,6850.0,12.0,108.73,0,0,0.0,0.0,24,31,1,0,0,0,5,41,0,1.75
Hamidou Makalou,2026-01-04,Stade Brestois,Auxerre,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-01-18,Olympique Lyonnais,Stade Brestois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-01-25,Stade Brestois,Toulouse,6.5,12,1361.0,2.0,113.42,0,0,0.0,0.0,14,17,0,0,0,0,1,21,0,1.47
Hamidou Makalou,2026-02-01,Nice,Stade Brestois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-02-07,Stade Brestois,Lorient,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-02-14,Lille,Stade Brestois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-02-20,Stade Brestois,Olympique de Marseille,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-03-01,Metz,Stade Brestois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-03-08,Stade Brestois,Le Havre,,1,105.0,0.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-03-14,AS Monaco,Stade Brestois,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-03-21,Auxerre,Stade Brestois,7.0,14,1596.0,3.0,114.0,0,0,0.0,0.04,13,15,2,0,0,0,3,21,0,1.88
Hamidou Makalou,2026-04-04,Stade Brestois,Stade Rennais,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Hamidou Makalou,2026-04-19,Nantes,Stade Brestois,6.7,23,2503.0,4.0,108.83,0,0,0.0,0.02,13,14,0,0,0,0,1,18,0,1.6
Hamidou Makalou,2026-04-24,Stade Brestois,RC Lens,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
