Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Emiliano Buendía,2026-02-11,Aston Villa,Brighton & Hove Albion,7.1,60,6426.0,12.0,107.1,0,0,0.05,0.01,7,9,1,0,0,0,4,18,0,1.87
Emiliano Buendía,2026-02-14,Aston Villa,Newcastle United,6.6,25,2709.0,5.0,108.36,0,0,0.0,0.0,8,9,0,0,0,0,1,17,0,1.85
Emiliano Buendía,2026-02-21,Aston Villa,Leeds United,6.3,75,8106.0,14.0,108.08,0,0,0.14,0.03,22,26,0,0,0,0,3,46,0,1.73
Emiliano Buendía,2026-02-27,Wolverhampton,Aston Villa,6.1,70,7576.0,13.0,108.23,0,0,0.0,0.03,25,30,0,0,0,0,4,42,0,1.72
Emiliano Buendía,2026-03-04,Aston Villa,Chelsea,7.0,63,6753.0,14.0,107.19,0,0,0.0,0.19,15,19,1,0,1,0,2,27,0,2.07
Emiliano Buendía,2026-03-12,Lille,Aston Villa,6.4,83,8912.0,16.0,107.37,0,0,0.18,0.02,21,26,2,0,0,0,2,41,0,1.8
Emiliano Buendía,2026-03-15,Manchester United,Aston Villa,6.8,86,9302.0,21.0,108.16,0,0,0.19,0.18,25,29,0,0,3,0,5,50,0,2.26
Emiliano Buendía,2026-03-19,Aston Villa,Lille,7.0,16,1739.0,3.0,108.69,0,0,0.0,0.42,7,9,1,0,0,0,1,11,0,1.73
Emiliano Buendía,2026-03-22,Aston Villa,West Ham United,6.7,13,1424.0,2.0,109.54,0,0,0.0,0.01,5,6,0,0,0,0,1,11,0,1.4
Emiliano Buendía,2026-04-09,Bologna,Aston Villa,7.1,88,9454.0,17.0,107.43,0,0,0.12,0.24,18,26,2,0,0,0,2,45,0,1.8
Emiliano Buendía,2026-04-12,Nottingham Forest,Aston Villa,6.5,12,1302.0,2.0,108.5,0,0,0.0,0.06,6,6,2,0,0,0,1,7,0,1.54
Emiliano Buendía,2026-04-16,Aston Villa,Bologna,8.0,90,9618.0,19.0,106.87,1,0,0.23,0.13,15,22,1,0,1,0,2,34,0,1.98
Emiliano Buendía,2026-04-19,Aston Villa,Sunderland,6.4,20,2175.0,4.0,108.75,0,0,0.21,0.0,4,6,0,0,0,0,2,12,0,1.84
Emiliano Buendía,2026-04-25,Fulham,Aston Villa,6.4,74,8001.0,16.0,108.12,0,0,0.04,0.02,24,29,0,0,1,0,4,43,0,2.0
