Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Jack Hinshelwood,2026-01-07,Manchester City,Brighton & Hove Albion,7.4,90,9723.0,20.0,108.03,0,0,0.0,0.16,25,29,0,0,2,0,4,53,0,2.06
Jack Hinshelwood,2026-01-11,Manchester United,Brighton & Hove Albion,6.5,90,9781.0,17.0,108.68,0,0,0.0,0.0,30,39,0,0,0,0,8,55,0,1.74
Jack Hinshelwood,2026-01-19,Brighton & Hove Albion,Bournemouth,7.2,66,7261.0,13.0,110.02,0,0,0.23,0.02,39,46,0,0,0,0,7,58,0,1.79
Jack Hinshelwood,2026-01-24,Fulham,Brighton & Hove Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Hinshelwood,2026-02-08,Brighton & Hove Albion,Crystal Palace,6.7,8,890.0,2.0,111.25,0,0,0.0,0.0,8,8,0,0,0,0,1,9,0,2.25
Jack Hinshelwood,2026-02-11,Aston Villa,Brighton & Hove Albion,5.8,90,9735.0,19.0,108.17,0,0,0.16,0.12,43,48,1,0,1,0,3,59,0,1.95
Jack Hinshelwood,2026-02-14,Liverpool,Brighton & Hove Albion,6.3,81,8715.0,16.0,107.59,0,0,0.0,0.0,25,34,2,0,0,0,1,47,0,1.84
Jack Hinshelwood,2026-02-21,Brentford,Brighton & Hove Albion,6.2,90,9635.0,17.0,107.06,0,0,0.09,0.02,19,26,1,0,0,0,2,38,0,1.76
Jack Hinshelwood,2026-03-01,Brighton & Hove Albion,Nottingham Forest,6.2,90,9685.0,17.0,107.61,0,0,0.12,0.12,16,27,1,0,0,0,4,44,0,1.76
Jack Hinshelwood,2026-03-04,Brighton & Hove Albion,Arsenal,5.9,69,7354.0,13.0,106.58,0,0,0.26,0.0,10,15,1,0,0,0,1,23,0,1.77
Jack Hinshelwood,2026-03-14,Sunderland,Brighton & Hove Albion,6.4,88,9395.0,18.0,106.76,0,0,0.86,0.17,16,26,3,0,1,0,1,34,0,1.92
Jack Hinshelwood,2026-03-21,Brighton & Hove Albion,Liverpool,6.8,83,8845.0,16.0,106.57,0,0,0.04,0.78,12,15,1,0,0,0,2,25,0,1.81
Jack Hinshelwood,2026-04-11,Burnley,Brighton & Hove Albion,7.2,75,8080.0,16.0,107.73,0,0,0.45,0.32,17,19,1,0,1,0,5,34,0,1.98
Jack Hinshelwood,2026-04-18,Tottenham Hotspur,Brighton & Hove Albion,6.3,75,8030.0,14.0,107.07,0,0,0.04,0.02,20,26,0,0,0,0,2,31,0,1.74
Jack Hinshelwood,2026-04-21,Brighton & Hove Albion,Chelsea,7.1,89,9475.0,17.0,106.46,1,0,1.03,0.03,22,23,0,0,0,0,0,31,0,1.79
