Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Malo Gusto,2026-02-13,Hull City,Chelsea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Malo Gusto,2026-02-21,Chelsea,Burnley,6.8,80,,,0.0,0,0,0.0,0.18,43,51,0,0,2,0,3,64
Malo Gusto,2026-03-01,Arsenal,Chelsea,6.6,15,,,0.0,0,0,0.0,0.01,9,10,1,0,0,0,1,11
Malo Gusto,2026-03-04,Aston Villa,Chelsea,7.2,75,,,0.0,0,0,0.0,0.47,42,49,1,0,1,0,4,71
Malo Gusto,2026-03-07,Wrexham,Chelsea,6.7,35,,,0.0,0,0,0.0,0.0,33,37,1,0,1,0,2,53
Malo Gusto,2026-03-11,Paris Saint-Germain,Chelsea,7.5,88,,,0.0,1,0,0.17,0.02,23,30,1,0,3,0,6,57
Malo Gusto,2026-03-14,Chelsea,Newcastle United,6.6,45,,,0.0,0,0,0.0,0.03,30,32,1,0,0,0,1,48
Malo Gusto,2026-03-21,Everton,Chelsea,6.6,45,,,0.0,0,0,0.0,0.01,17,23,0,0,1,0,2,36
Malo Gusto,2026-03-26,Brazil,France,6.3,89,,,0.0,0,0,0.0,0.0,46,55,0,0,1,0,4,75
Malo Gusto,2026-03-29,Colombia,France,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Malo Gusto,2026-04-04,Chelsea,Port Vale,7.4,85,,,0.0,0,0,0.0,0.0,67,72,2,0,1,0,3,97
Malo Gusto,2026-04-12,Chelsea,Manchester City,6.3,88,,,0.0,0,0,0.0,0.01,24,29,0,0,0,0,3,47
Malo Gusto,2026-04-18,Chelsea,Manchester United,7.0,81,,,0.0,0,0,0.0,0.18,48,56,3,0,0,0,8,69
Malo Gusto,2026-04-21,Brighton & Hove Albion,Chelsea,6.7,89,,,0.0,0,0,0.0,0.22,40,47,1,0,3,0,0,75
Malo Gusto,2026-04-26,Chelsea,Leeds United,7.0,90,,,0.0,0,0,0.0,0.0,37,42,0,0,3,0,2,63
