Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Roméo Lavia,2025-11-05,Qarabağ FK,Chelsea,6.6,8,848.0,2.0,106.0,0,0,0.0,0.0,2,2,0,0,0,0,0,2,0,2.36
Roméo Lavia,2026-02-20,Chelsea U21,Leeds United U21,,46,4830.0,9.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.86
Roméo Lavia,2026-02-21,Chelsea,Burnley,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Roméo Lavia,2026-03-01,Arsenal,Chelsea,6.8,15,1659.0,3.0,110.6,0,0,0.0,0.01,12,12,0,0,0,0,1,17,0,1.81
Roméo Lavia,2026-03-04,Aston Villa,Chelsea,6.6,15,1638.0,3.0,109.2,0,0,0.0,0.0,10,11,0,0,0,0,0,15,0,1.83
Roméo Lavia,2026-03-07,Wrexham,Chelsea,6.0,65,7169.0,14.0,110.29,0,0,0.0,0.0,66,71,0,0,1,0,2,76,0,1.95
Roméo Lavia,2026-03-11,Paris Saint-Germain,Chelsea,6.4,12,1281.0,2.0,106.75,0,0,0.0,0.0,5,5,0,0,0,0,0,5,0,1.56
Roméo Lavia,2026-03-14,Chelsea,Newcastle United,6.5,29,3217.0,7.0,110.93,0,0,0.0,0.03,30,32,0,0,1,0,2,35,0,2.18
Roméo Lavia,2026-03-17,Chelsea,Paris Saint-Germain,6.7,30,3230.0,6.0,107.67,0,0,0.0,0.02,10,11,1,0,0,0,2,13,0,1.86
Roméo Lavia,2026-03-21,Everton,Chelsea,6.7,57,6308.0,12.0,110.67,0,0,0.14,0.02,48,54,0,0,1,0,5,62,0,1.9
Roméo Lavia,2026-04-04,Chelsea,Port Vale,6.7,78,8580.0,15.0,110.0,0,0,0.0,0.0,71,76,0,0,0,0,3,84,0,1.75
Roméo Lavia,2026-04-12,Chelsea,Manchester City,7.1,23,2566.0,4.0,111.57,0,0,0.0,0.34,21,25,1,0,0,0,3,27,0,1.56
Roméo Lavia,2026-04-18,Chelsea,Manchester United,,2,227.0,0.0,113.5,0,0,0.0,0.0,0,0,0,0,0,0,1,1,0,0.0
Roméo Lavia,2026-04-21,Brighton & Hove Albion,Chelsea,6.8,73,7921.0,14.0,108.51,0,0,0.05,0.02,39,40,0,0,0,0,4,49,0,1.77
Roméo Lavia,2026-04-26,Chelsea,Leeds United,6.5,66,7085.0,13.0,107.35,0,0,0.0,0.0,22,27,1,0,0,0,1,34,0,1.83
