Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Ryan Kavuma-McQueen,2026-02-03,Chelsea U19,PSV Eindhoven U19,7.7,84,,,0.0,1,0,0.0,0.0,7,12,1,0,0,0,3,36
Ryan Kavuma-McQueen,2026-02-20,Chelsea U21,Leeds United U21,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-02-25,Real Madrid U19,Chelsea U19,6.3,90,,,0.0,0,0,0.0,0.0,11,14,2,0,1,0,2,26
Ryan Kavuma-McQueen,2026-03-02,Manchester United U21,Chelsea U21,,3,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-09,Birmingham City U21,Chelsea U21,,90,,,0.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-14,Chelsea U21,Sunderland U21,,61,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-17,Chelsea,Paris Saint-Germain,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-20,Wolverhampton U21,Chelsea U21,,73,,,0.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-25,England U17,Faroe Islands U17,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-03-28,Israel U17,England U17,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-04-04,Chelsea,Port Vale,6.4,12,,,0.0,0,0,0.0,0.0,5,7,0,0,0,0,2,13
Ryan Kavuma-McQueen,2026-04-10,Fulham U21,Chelsea U21,,90,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Ryan Kavuma-McQueen,2026-04-25,Chelsea U21,Middlesbrough U21,,45,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
