Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Brennan Johnson,2026-02-19,HŠK Zrinjski Mostar,Crystal Palace,6.4,64,6829.0,12.0,106.7,0,0,0.0,0.08,12,16,2,0,0,0,0,26,0,1.76
Brennan Johnson,2026-02-22,Crystal Palace,Wolverhampton,6.9,13,1411.0,2.0,108.54,0,0,0.05,0.09,1,2,1,0,0,0,1,8,0,1.42
Brennan Johnson,2026-02-26,Crystal Palace,HŠK Zrinjski Mostar,6.8,17,1810.0,3.0,106.47,0,0,0.0,0.03,3,6,1,0,0,0,0,6,0,1.66
Brennan Johnson,2026-03-01,Manchester United,Crystal Palace,6.7,58,6178.0,11.0,106.52,0,0,0.0,0.02,5,7,1,0,0,0,2,15,0,1.78
Brennan Johnson,2026-03-05,Tottenham Hotspur,Crystal Palace,6.4,23,2423.0,4.0,105.35,0,0,0.0,0.0,1,1,0,0,0,0,0,2,0,1.65
Brennan Johnson,2026-03-12,Crystal Palace,AEK Larnaca,7.8,87,9441.0,18.0,108.52,0,0,0.06,0.52,37,41,2,0,1,0,3,64,0,1.91
Brennan Johnson,2026-03-15,Crystal Palace,Leeds United,6.6,80,8664.0,15.0,108.3,0,0,0.07,0.1,15,29,2,0,0,0,4,51,0,1.73
Brennan Johnson,2026-03-19,AEK Larnaca,Crystal Palace,7.0,60,6472.0,13.0,107.87,0,0,0.0,0.23,19,21,0,0,1,0,1,38,0,2.01
Brennan Johnson,2026-03-26,Wales,Bosnia & Herzegovina,6.5,120,12844.0,23.0,107.03,0,0,0.0,0.0,20,33,1,0,0,0,1,55,0,1.79
Brennan Johnson,2026-03-31,Wales,Northern Ireland,6.4,19,2066.0,4.0,108.74,0,0,0.0,0.0,8,11,0,0,0,0,0,17,0,1.94
Brennan Johnson,2026-04-09,Crystal Palace,Fiorentina,,1,113.0,0.0,113.0,0,0,0.0,0.01,2,2,0,0,0,0,0,2,0,0.0
Brennan Johnson,2026-04-12,Crystal Palace,Newcastle United,6.6,64,6854.0,12.0,107.09,0,0,0.0,0.01,8,12,1,0,0,0,3,23,0,1.75
Brennan Johnson,2026-04-16,Fiorentina,Crystal Palace,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Brennan Johnson,2026-04-20,Crystal Palace,West Ham United,6.4,78,8349.0,15.0,107.04,0,0,0.38,0.04,8,13,0,0,0,0,4,26,0,1.8
Brennan Johnson,2026-04-25,Liverpool,Crystal Palace,7.2,59,6396.0,13.0,108.41,0,0,0.15,0.07,11,18,1,0,1,0,4,36,0,2.03
