Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Séamus Coleman,2025-11-03,Sunderland,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2025-11-08,Everton,Fulham,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2025-11-13,Ireland,Portugal,6.9,90,9668.0,24.0,107.42,0,0,0.0,0.0,15,21,0,0,5,0,4,40,0,2.48
Séamus Coleman,2025-11-16,Hungary,Ireland,6.7,60,6438.0,12.0,107.3,0,0,0.0,0.0,15,18,0,0,0,0,2,27,0,1.86
Séamus Coleman,2025-11-24,Manchester United,Everton,6.7,10,1088.0,2.0,108.8,0,0,0.0,0.0,4,4,0,0,0,0,1,6,0,1.84
Séamus Coleman,2026-01-18,Aston Villa,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-01-26,Everton,Leeds United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-01-31,Brighton & Hove Albion,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-02-23,Everton,Manchester United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-03-14,Arsenal,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-03-21,Everton,Chelsea,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-03-26,Czechia,Ireland,6.7,96,10348.0,21.0,107.79,0,0,0.0,0.0,18,31,1,0,2,0,5,49,0,2.03
Séamus Coleman,2026-03-31,Ireland,North Macedonia,6.4,61,6644.0,12.0,108.92,0,0,0.0,0.0,30,34,0,0,0,0,4,45,0,1.81
Séamus Coleman,2026-04-11,Brentford,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Séamus Coleman,2026-04-25,West Ham United,Everton,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
