Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Cody Gakpo,2026-02-28,Liverpool,West Ham United,7.4,90,9618.0,19.0,106.87,1,0,0.34,0.06,16,19,3,0,1,0,1,37,0,1.98
Cody Gakpo,2026-03-03,Wolverhampton,Liverpool,6.7,65,7022.0,12.0,108.03,0,0,0.81,0.05,23,25,1,0,0,0,3,38,0,1.71
Cody Gakpo,2026-03-06,Wolverhampton,Liverpool,6.5,86,9223.0,17.0,107.24,0,0,0.0,0.0,21,21,2,0,0,0,5,31,0,1.84
Cody Gakpo,2026-03-10,Galatasaray,Liverpool,6.7,17,1819.0,3.0,107.0,0,0,0.1,0.1,4,5,0,0,0,0,0,8,0,1.65
Cody Gakpo,2026-03-15,Liverpool,Tottenham Hotspur,6.7,83,8908.0,17.0,107.33,0,0,0.21,0.03,10,16,1,0,1,0,4,34,0,1.91
Cody Gakpo,2026-03-18,Liverpool,Galatasaray,6.3,16,1697.0,3.0,106.06,0,0,0.0,0.01,3,3,0,0,0,0,0,4,0,1.77
Cody Gakpo,2026-03-21,Brighton & Hove Albion,Liverpool,6.4,90,9593.0,17.0,106.59,0,0,0.1,0.02,8,15,1,0,0,0,2,28,0,1.77
Cody Gakpo,2026-03-27,Netherlands,Norway,8.4,82,8857.0,17.0,108.01,0,0,0.0,0.0,24,28,2,0,1,0,4,47,0,1.92
Cody Gakpo,2026-03-31,Netherlands,Ecuador,6.4,45,4775.0,9.0,106.11,0,0,0.0,0.0,3,5,0,0,0,0,1,9,0,1.88
Cody Gakpo,2026-04-04,Manchester City,Liverpool,6.5,22,2390.0,6.0,108.64,0,0,0.0,0.0,13,13,1,0,1,0,1,16,0,2.51
Cody Gakpo,2026-04-08,Paris Saint-Germain,Liverpool,6.4,12,1281.0,2.0,106.75,0,0,0.0,0.0,3,3,0,0,0,0,0,5,0,1.56
Cody Gakpo,2026-04-11,Liverpool,Fulham,7.1,90,9609.0,17.0,106.77,0,0,0.13,0.05,10,11,1,0,0,0,3,29,0,1.77
Cody Gakpo,2026-04-14,Liverpool,Paris Saint-Germain,6.9,45,4868.0,9.0,108.18,0,0,0.04,0.18,15,19,0,0,0,0,3,25,0,1.85
Cody Gakpo,2026-04-19,Everton,Liverpool,6.2,84,8980.0,16.0,106.9,0,0,0.36,0.27,15,19,4,0,0,0,1,35,0,1.78
Cody Gakpo,2026-04-25,Liverpool,Crystal Palace,6.8,90,9601.0,17.0,106.68,0,0,0.0,0.02,15,24,0,0,0,0,1,33,0,1.77
