Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Benjamin Šeško,2026-01-07,Burnley,Manchester United,8.6,90,9626.0,17.0,106.96,2,0,1.14,0.01,10,20,0,0,0,0,1,39,0,1.77
Benjamin Šeško,2026-01-11,Manchester United,Brighton & Hove Albion,7.5,90,9530.0,17.0,105.89,1,0,0.0,0.0,4,7,0,0,0,0,0,19,0,1.78
Benjamin Šeško,2026-01-17,Manchester United,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Benjamin Šeško,2026-01-25,Arsenal,Manchester United,6.5,9,958.0,2.0,106.44,0,0,0.0,0.0,1,2,0,0,0,0,0,3,0,2.09
Benjamin Šeško,2026-02-01,Manchester United,Fulham,7.4,16,1760.0,3.0,110.0,1,0,0.59,0.0,4,5,0,0,0,0,2,13,0,1.7
Benjamin Šeško,2026-02-07,Manchester United,Tottenham Hotspur,6.4,15,1592.0,3.0,106.13,0,0,0.2,0.0,0,0,0,0,0,0,0,4,0,1.88
Benjamin Šeško,2026-02-10,West Ham United,Manchester United,7.2,21,2226.0,4.0,106.0,1,0,0.12,0.0,0,1,0,0,0,0,0,5,0,1.8
Benjamin Šeško,2026-02-23,Everton,Manchester United,7.3,32,3444.0,6.0,107.62,1,0,0.41,0.0,4,4,0,0,0,0,3,11,0,1.74
Benjamin Šeško,2026-03-01,Manchester United,Crystal Palace,7.8,75,7955.0,14.0,106.07,1,0,0.27,0.01,8,10,0,0,0,0,1,16,0,1.76
Benjamin Šeško,2026-03-04,Newcastle United,Manchester United,6.1,90,9563.0,17.0,106.26,0,0,0.32,0.01,13,14,0,0,0,0,1,24,0,1.78
Benjamin Šeško,2026-03-15,Manchester United,Aston Villa,7.4,15,1608.0,3.0,107.2,1,0,0.31,0.0,2,3,0,0,0,0,1,5,0,1.87
Benjamin Šeško,2026-03-20,Bournemouth,Manchester United,6.6,19,2037.0,4.0,107.21,0,0,0.0,0.0,7,10,0,0,0,0,0,10,0,1.96
Benjamin Šeško,2026-04-13,Manchester United,Leeds United,6.7,90,9588.0,17.0,106.53,0,0,0.31,0.01,10,15,0,0,0,0,2,27,0,1.77
Benjamin Šeško,2026-04-18,Chelsea,Manchester United,6.5,80,8488.0,15.0,106.1,0,0,0.03,0.01,9,11,0,0,0,0,1,18,0,1.77
Benjamin Šeško,2026-04-27,Manchester United,Brentford,7.5,88,9428.0,17.0,107.14,1,0,0.42,0.03,11,21,1,0,0,0,5,30,0,1.8
