Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Jack Fletcher,2025-12-26,Manchester United,Newcastle United,6.5,45,4784.0,10.0,106.31,0,0,0.0,0.0,7,9,1,0,1,0,0,14,0,2.09
Jack Fletcher,2025-12-30,Manchester United,Wolverhampton,6.6,45,4914.0,9.0,109.2,0,0,0.03,0.03,24,28,1,0,0,0,3,36,0,1.83
Jack Fletcher,2026-01-04,Leeds United,Manchester United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-01-07,Burnley,Manchester United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-01-11,Manchester United,Brighton & Hove Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-01-12,Wolverhampton U21,Manchester United U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jack Fletcher,2026-01-17,Manchester United,Manchester City,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-01-20,Manchester United U21,Sporting CP B U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-02-02,West Bromwich Albion U21,Manchester United U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jack Fletcher,2026-03-13,Manchester United U21,Southampton U21,,84,8820.0,16.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.81
Jack Fletcher,2026-03-20,Reading U21,Manchester United U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jack Fletcher,2026-04-03,Leeds United U21,Manchester United U21,,90,9450.0,17.0,105.0,2,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jack Fletcher,2026-04-07,Manchester United U21,Real Madrid Castilla U21,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jack Fletcher,2026-04-10,Manchester United U21,Newcastle United U21,,46,4830.0,9.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.86
Jack Fletcher,2026-04-26,Manchester United U21,Sunderland U21,,90,9450.0,17.0,105.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
