Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Sandro Tonali,2026-02-10,Tottenham Hotspur,Newcastle United,6.6,15,1638.0,3.0,109.2,0,0,0.0,0.0,2,3,0,0,0,0,2,9,0,1.83
Sandro Tonali,2026-02-14,Aston Villa,Newcastle United,9.0,90,9782.0,19.0,108.69,2,0,0.0,0.0,48,62,0,0,1,0,3,70,0,1.94
Sandro Tonali,2026-02-18,Qarabağ FK,Newcastle United,7.2,90,9849.0,20.0,109.43,0,0,0.04,0.36,65,69,1,0,2,0,2,89,0,2.03
Sandro Tonali,2026-02-21,Manchester City,Newcastle United,6.8,90,9744.0,19.0,108.27,0,0,0.0,0.18,37,45,2,0,1,0,5,55,0,1.95
Sandro Tonali,2026-02-24,Newcastle United,Qarabağ FK,8.6,90,9891.0,19.0,109.9,1,0,0.35,0.77,75,81,3,0,1,0,3,96,0,1.92
Sandro Tonali,2026-02-28,Newcastle United,Everton,7.0,90,9920.0,17.0,110.22,0,0,0.04,0.08,74,87,3,0,0,0,3,103,0,1.71
Sandro Tonali,2026-03-04,Newcastle United,Manchester United,7.9,89,9622.0,20.0,108.11,0,0,0.02,0.49,27,35,3,0,2,0,5,51,0,2.08
Sandro Tonali,2026-03-07,Newcastle United,Manchester City,7.0,90,9702.0,17.0,107.8,0,0,0.0,0.0,21,32,2,0,0,0,4,48,0,1.75
Sandro Tonali,2026-03-10,Newcastle United,FC Barcelona,6.2,90,9748.0,20.0,108.31,0,0,0.13,0.02,25,35,1,0,2,0,7,50,0,2.05
Sandro Tonali,2026-03-18,FC Barcelona,Newcastle United,6.4,55,5972.0,15.0,108.58,0,0,0.0,0.0,9,12,0,0,3,0,7,26,0,2.51
Sandro Tonali,2026-03-26,Italy,Northern Ireland,8.3,83,9013.0,16.0,108.59,1,0,0.0,0.0,19,32,3,0,0,0,6,53,0,1.78
Sandro Tonali,2026-03-31,Bosnia & Herzegovina,Italy,7.3,120,12873.0,24.0,107.28,0,0,0.0,0.0,30,38,0,0,1,0,4,53,0,1.86
Sandro Tonali,2026-04-12,Crystal Palace,Newcastle United,6.6,89,9781.0,19.0,109.9,0,0,0.0,0.05,51,69,1,0,1,0,6,86,0,1.94
Sandro Tonali,2026-04-18,Newcastle United,Bournemouth,6.9,86,9294.0,18.0,108.07,0,0,0.07,0.08,36,44,0,0,1,0,2,57,0,1.94
Sandro Tonali,2026-04-25,Arsenal,Newcastle United,7.0,90,9819.0,19.0,109.1,0,0,0.06,0.16,54,63,1,0,1,0,4,76,0,1.94
