Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Dennis Cirkin,2026-01-04,Tottenham Hotspur,Sunderland,6.1,59,6346.0,11.0,107.56,0,0,0.0,0.0,16,21,0,0,0,0,2,30,0,1.73
Dennis Cirkin,2026-01-07,Brentford,Sunderland,6.6,11,1193.0,2.0,108.45,0,0,0.0,0.0,7,7,0,0,0,0,0,9,0,1.68
Dennis Cirkin,2026-01-10,Everton,Sunderland,6.1,120,12948.0,26.0,107.9,0,0,0.0,0.0,37,46,2,0,2,0,3,74,0,2.01
Dennis Cirkin,2026-01-17,Sunderland,Crystal Palace,,2,231.0,2.0,115.5,0,0,0.0,0.0,2,3,0,0,1,0,0,5,0,8.66
Dennis Cirkin,2026-01-21,Sunderland U21,Borussia Dortmund II U23,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-01-24,West Ham United,Sunderland,6.8,45,4842.0,9.0,107.6,0,0,0.0,0.0,10,12,0,0,0,0,2,22,0,1.86
Dennis Cirkin,2026-02-02,Sunderland,Burnley,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-02-07,Arsenal,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-02-11,Sunderland,Liverpool,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-02-15,Oxford United,Sunderland,7.1,90,9689.0,19.0,107.66,0,0,0.0,0.0,23,29,1,0,1,0,2,51,0,1.96
Dennis Cirkin,2026-03-14,Sunderland,Brighton & Hove Albion,6.5,14,1516.0,3.0,108.29,0,0,0.07,0.0,3,5,0,0,0,0,1,8,0,1.98
Dennis Cirkin,2026-03-22,Newcastle United,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-04-12,Sunderland,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-04-19,Aston Villa,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Dennis Cirkin,2026-04-24,Sunderland,Nottingham Forest,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
