Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Milan Aleksić,2025-11-03,Cracovia,Zagłębie Lubin,6.5,26,2894.0,6.0,111.31,0,0,0.0,0.15,15,19,1,0,1,0,3,30,0,2.07
Milan Aleksić,2025-11-07,Radomiak Radom,Cracovia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2025-11-18,Serbia U21,USA U21,6.6,25,2726.0,6.0,109.04,0,0,0.0,0.0,5,10,0,0,1,0,2,18,0,2.2
Milan Aleksić,2025-11-22,Cracovia,Motor Lublin,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2025-11-29,MKS Korona Kielce,Cracovia,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2025-12-04,Wisła Płock,Cracovia,7.0,24,2608.0,6.0,108.67,0,0,0.0,0.11,3,6,1,0,1,0,2,15,0,2.3
Milan Aleksić,2025-12-07,Cracovia,Lech Poznań,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2026-02-28,Bournemouth,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2026-03-03,Leeds United,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2026-03-08,Port Vale,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Milan Aleksić,2026-03-09,Sunderland U21,Leeds United U21,,63,6615.0,12.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.81
Milan Aleksić,2026-03-14,Chelsea U21,Sunderland U21,,87,9135.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.86
