Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Wilson Isidor,2026-02-02,Sunderland,Burnley,6.3,11,1184.0,2.0,107.64,0,0,0.12,0.01,1,2,0,0,0,0,0,7,0,1.69
Wilson Isidor,2026-02-07,Arsenal,Sunderland,6.4,12,1268.0,2.0,105.67,0,0,0.0,0.0,1,2,0,0,0,0,0,2,0,1.58
Wilson Isidor,2026-02-11,Sunderland,Liverpool,,1,105.0,0.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Wilson Isidor,2026-02-15,Oxford United,Sunderland,6.3,64,6783.0,12.0,105.98,0,0,0.0,0.0,2,2,0,0,0,0,1,12,0,1.77
Wilson Isidor,2026-02-22,Sunderland,Fulham,6.7,20,2138.0,4.0,106.9,0,0,0.09,0.1,2,2,0,0,0,0,1,6,0,1.87
Wilson Isidor,2026-02-28,Bournemouth,Sunderland,,1,126.0,0.0,126.0,0,0,0.0,0.0,0,1,0,0,0,0,1,2,0,0.0
Wilson Isidor,2026-03-03,Leeds United,Sunderland,6.2,34,3604.0,7.0,106.0,0,0,0.06,0.0,1,4,0,0,0,0,0,8,0,1.94
Wilson Isidor,2026-03-08,Port Vale,Sunderland,6.6,22,2327.0,4.0,105.77,0,0,0.0,0.0,1,3,0,0,0,0,0,4,0,1.72
Wilson Isidor,2026-03-14,Sunderland,Brighton & Hove Albion,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Wilson Isidor,2026-03-22,Newcastle United,Sunderland,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Wilson Isidor,2026-03-29,Haiti,Tunisia,6.7,45,4822.0,9.0,107.16,0,0,0.0,0.0,7,12,0,0,0,0,1,20,0,1.87
Wilson Isidor,2026-04-12,Sunderland,Tottenham Hotspur,,1,109.0,0.0,109.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0.0
Wilson Isidor,2026-04-19,Aston Villa,Sunderland,7.6,14,1478.0,3.0,105.57,1,0,0.65,0.0,1,1,0,0,0,0,0,2,0,2.03
Wilson Isidor,2026-04-24,Sunderland,Nottingham Forest,6.9,25,2709.0,5.0,108.36,0,0,0.04,0.01,8,11,0,0,0,0,1,17,0,1.85
