Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Conor Gallagher,2026-01-08,Atlético Madrid,Real Madrid,6.7,45,4943.0,10.0,109.84,0,0,0.0,0.0,24,28,1,0,1,0,4,40,0,2.02
Conor Gallagher,2026-01-17,Tottenham Hotspur,West Ham United,6.5,90,9794.0,20.0,108.82,0,0,0.1,0.15,33,42,1,0,2,0,4,70,0,2.04
Conor Gallagher,2026-01-24,Burnley,Tottenham Hotspur,6.8,85,9357.0,18.0,110.08,0,0,0.21,0.09,56,64,1,0,1,0,8,79,0,1.92
Conor Gallagher,2026-02-01,Tottenham Hotspur,Manchester City,7.0,90,9785.0,22.0,108.72,0,0,0.09,0.12,31,38,1,0,3,0,8,56,0,2.25
Conor Gallagher,2026-02-07,Manchester United,Tottenham Hotspur,6.4,80,8597.0,18.0,107.46,0,0,0.16,0.07,23,30,1,0,2,0,2,41,0,2.09
Conor Gallagher,2026-02-10,Tottenham Hotspur,Newcastle United,6.4,70,7518.0,13.0,107.4,0,0,0.0,0.03,15,19,3,0,0,0,3,31,0,1.73
Conor Gallagher,2026-02-22,Tottenham Hotspur,Arsenal,6.3,62,6652.0,12.0,107.29,0,0,0.0,0.0,11,13,0,0,0,0,4,22,0,1.8
Conor Gallagher,2026-03-01,Fulham,Tottenham Hotspur,6.4,58,6283.0,13.0,108.33,0,0,0.0,0.03,18,25,0,0,1,0,3,37,0,2.07
Conor Gallagher,2026-03-05,Tottenham Hotspur,Crystal Palace,6.2,47,5052.0,9.0,107.49,0,0,0.0,0.0,13,15,0,0,0,0,2,22,0,1.78
Conor Gallagher,2026-03-10,Atlético Madrid,Tottenham Hotspur,6.5,45,4872.0,9.0,108.27,0,0,0.0,0.0,17,17,0,0,0,0,3,26,0,1.85
Conor Gallagher,2026-03-18,Tottenham Hotspur,Atlético Madrid,6.8,9,970.0,2.0,107.78,0,0,0.0,0.06,3,3,1,0,0,0,0,6,0,2.06
Conor Gallagher,2026-03-22,Tottenham Hotspur,Nottingham Forest,6.3,12,1285.0,2.0,107.08,0,0,0.0,0.0,2,5,0,0,0,0,0,6,0,1.56
Conor Gallagher,2026-04-12,Sunderland,Tottenham Hotspur,6.8,85,9177.0,19.0,107.96,0,0,0.0,0.04,34,39,1,0,2,0,4,48,0,2.07
Conor Gallagher,2026-04-18,Tottenham Hotspur,Brighton & Hove Albion,7.1,76,8206.0,17.0,107.97,0,0,0.04,0.04,22,25,1,0,2,0,4,42,0,2.07
Conor Gallagher,2026-04-25,Wolverhampton,Tottenham Hotspur,7.1,89,9651.0,20.0,108.44,0,0,0.0,0.01,31,33,2,0,2,0,8,49,0,2.07
