Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches,Successful_Dribbles,kpi_explosivity
Jun'ai Byfield,2025-09-26,Tottenham U21,West Bromwich Albion U21,,63,6615.0,12.0,105.0,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.81
Jun'ai Byfield,2025-10-05,Newcastle United U21,Tottenham U21,,85,8925.0,16.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.79
Jun'ai Byfield,2025-10-19,Tottenham Hotspur,Aston Villa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2025-10-22,AS Monaco,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2025-10-26,Everton,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2026-01-10,Tottenham Hotspur,Aston Villa,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2026-01-16,Burnley U21,Tottenham U21,,90,9450.0,17.0,105.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1.8
Jun'ai Byfield,2026-01-20,Tottenham Hotspur,Borussia Dortmund,6.7,28,3028.0,5.0,108.14,0,0,0.0,0.0,9,10,0,0,0,0,0,21,0,1.65
Jun'ai Byfield,2026-01-24,Burnley,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,,1,122.0,0.0,122.0,0,0,0.0,0.0,2,3,0,0,0,0,0,4,0,0.0
Jun'ai Byfield,2026-02-01,Tottenham Hotspur,Manchester City,6.7,10,1079.0,2.0,107.9,0,0,0.0,0.0,4,5,0,0,0,0,0,7,0,1.85
Jun'ai Byfield,2026-02-07,Manchester United,Tottenham Hotspur,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
Jun'ai Byfield,2026-02-10,Tottenham Hotspur,Newcastle United,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0
