Nom,Match_Date,Home_Team,Away_Team,Rating,Minutes_Played,distanceRun,sprints,kpi_work_rate,Goals,Assists,Expected_Goals,Expected_Assists,Accurate_Passes,Total_Passes,Key_Passes,Tackles,Interceptions,Clearances,Ball_Recovery,Touches
Jose Sa,2026-01-07,Everton,Wolverhampton,6.6,90,,,0.0,0,0,0.0,0.0,17,35,0,0,0,0,7,42
Jose Sa,2026-01-18,Wolverhampton,Newcastle United,7.4,90,,,0.0,0,0,0.0,0.0,14,30,0,0,0,0,5,39
Jose Sa,2026-01-24,Manchester City,Wolverhampton,6.1,90,,,0.0,0,0,0.0,0.0,13,18,0,0,0,0,5,27
Jose Sa,2026-01-31,Wolverhampton,Bournemouth,6.5,90,,,0.0,0,0,0.0,0.0,35,45,0,0,0,0,12,55
Jose Sa,2026-02-07,Wolverhampton,Chelsea,6.7,90,,,0.0,0,0,0.0,0.0,29,34,0,0,0,0,9,44
Jose Sa,2026-02-11,Nottingham Forest,Wolverhampton,9.8,90,,,0.0,0,0,0.0,0.0,20,39,0,0,0,0,12,65
Jose Sa,2026-02-18,Wolverhampton,Arsenal,6.4,90,,,0.0,0,0,0.0,0.0,20,33,0,0,0,0,6,44
Jose Sa,2026-02-22,Crystal Palace,Wolverhampton,6.8,90,,,0.0,0,0,0.0,0.0,15,29,0,0,0,0,10,40
Jose Sa,2026-02-27,Wolverhampton,Aston Villa,7.5,90,,,0.0,0,0,0.0,0.0,14,28,0,0,0,0,9,37
Jose Sa,2026-03-03,Wolverhampton,Liverpool,6.8,90,,,0.0,0,0,0.0,0.0,11,27,0,0,0,0,15,51
Jose Sa,2026-03-16,Brentford,Wolverhampton,6.6,90,,,0.0,0,0,0.0,0.0,32,37,0,0,0,0,8,46
Jose Sa,2026-03-29,Mexico,Portugal,,0,,,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
Jose Sa,2026-04-01,USA,Portugal,6.9,85,,,0.0,0,0,0.0,0.0,18,27,0,0,0,0,5,34
Jose Sa,2026-04-10,West Ham United,Wolverhampton,6.1,90,,,0.0,0,0,0.0,0.0,18,22,0,0,0,0,9,32
Jose Sa,2026-04-25,Wolverhampton,Tottenham Hotspur,6.9,90,,,0.0,0,0,0.0,0.0,19,34,0,0,0,0,10,44
