Nom,Poste_Cat,Matchs,xG,xA,KP,Drb,Dist,Def
Ander Barrenetxea,AD,13,0.022,0.04,1.53,2.43,6804.0,6.67
Antony,AD,14,0.22999999999999998,0.15000000000000002,1.54,2.01,8046.0,3.955
Bukayo Saka,AD,11,0.07,0.09,2.0,1.68,9720.0,6.0
David Neres,AD,13,0.0,0.062,2.47,2.02,8424.0,3.38
Dejan Kulusevski,AD,12,0.0785,0.0335,1.0,1.92,8478.0,4.5
Lamine Yamal,AD,14,0.14500000000000002,0.1345,1.06,1.75,9720.0,4.045
Mohamed Salah,AD,13,0.214,0.25,1.3,1.87,8316.0,4.0
Nicolas Pépé,AD,13,0.208,0.17,1.07,1.78,9720.0,4.0
Noni Madueke,AD,11,0.0,0.043,2.37,2.78,5832.0,4.0
Ousmane Dembélé,AD,12,0.4955,0.221,2.0,2.27,7074.0,1.29
Pedro Neto,AD,14,0.0,0.040499999999999994,2.0,1.7650000000000001,9612.0,3.2649999999999997
Rodrygo,AD,9,0.075,0.066,2.5,1.88,8964.0,4.34
Takefusa Kubo,AD,13,0.023,0.058,2.12,1.75,9180.0,3.03
Aaron Bibout,AG,10,0.376,0.0345,0.0,2.5149999999999997,6372.0,3.3049999999999997
Aarón Martín,AG,7,0.0,0.098,1.06,2.0,7992.0,3.0
Abdallah Sima,AG,7,0.0,0.259,1.45,2.43,6696.0,4.93
Abdelkahar Kadri,AG,11,0.0,0.07,1.17,2.46,6156.0,6.84
Abdulaziz Al Fawaz,AG,9,0.04,0.0,0.0,3.23,4860.0,2.0
Abdulaziz Al-Dwehe,AG,6,0.0765,0.022,0.57,2.005,8046.0,6.675
Abdulaziz Noor,AG,6,0.0245,0.01,0.5,2.24,7020.0,3.9850000000000003
Abdullah Al-Anazi,AG,9,0.112,0.042,0.0,2.29,6912.0,7.11
Abdullah Al-Hamdan,AG,6,0.39749999999999996,0.0205,0.0,2.5250000000000004,6372.0,2.18
Abdullah Al-Qahtani,AG,13,0.04,0.032,0.0,2.18,7128.0,4.0
Adam Buksa,AG,7,0.141,0.039,0.0,5.85,2700.0,3.6
Adam Daghim,AG,10,0.0305,0.091,1.02,3.1100000000000003,4863.855,4.3100000000000005
Adam Idah,AG,8,0.0565,0.0135,0.0,5.365,2970.0,1.325
Adam Wharton,AG,14,0.04,0.191,1.755,1.835,8856.0,5.145
Adrián Bernabé,AG,14,0.0215,0.077,2.52,1.915,8316.0,3.075
Ahmadou Bamba Dieng,AG,12,0.487,0.0125,0.0,2.0199999999999996,7938.0,2.79
Ahmed Al-Shamrani,AG,10,0.0,0.0495,0.0,1.7650000000000001,8964.0,7.0
Ahmed Hassan,AG,9,0.011,0.0,0.0,1.93,8100.0,1.3
Aimar Oroz,AG,14,0.037,0.1285,1.185,1.885,8370.0,3.42
Aitor Ruibal,AG,11,0.02,0.09,0.0,1.91,8100.0,6.0
Aiyegun Tosin,AG,7,0.033,0.031,0.0,5.56,2808.0,2.14
